Timestamp,Date,Transactions
1494374400000,2017-05-10,109673
1494460800000,2017-05-11,117189
1494547200000,2017-05-12,107241
1494633600000,2017-05-13,101332
1494720000000,2017-05-14,101348
1494806400000,2017-05-15,122792
1494892800000,2017-05-16,116341
1494979200000,2017-05-17,140135
1495065600000,2017-05-18,137409
1495152000000,2017-05-19,161568
1495238400000,2017-05-20,130912
1495324800000,2017-05-21,149699
1495411200000,2017-05-22,176255
1495497600000,2017-05-23,187121
1495584000000,2017-05-24,187293
1495670400000,2017-05-25,183010
1495756800000,2017-05-26,169818
1495843200000,2017-05-27,149450
1495929600000,2017-05-28,155271
1496016000000,2017-05-29,158547
1496102400000,2017-05-30,193618
1496188800000,2017-05-31,214126
1496275200000,2017-06-01,199160
1496361600000,2017-06-02,194911
1496448000000,2017-06-03,175666
1496534400000,2017-06-04,180136
1496620800000,2017-06-05,190305
1496707200000,2017-06-06,200523
1496793600000,2017-06-07,207180
1496880000000,2017-06-08,187700
1496966400000,2017-06-09,215831
1497052800000,2017-06-10,213356
1497139200000,2017-06-11,240490
1497225600000,2017-06-12,292941
1497312000000,2017-06-13,280054
1497398400000,2017-06-14,250410
1497484800000,2017-06-15,261617
1497571200000,2017-06-16,248003
1497657600000,2017-06-17,242022
1497744000000,2017-06-18,245957
1497830400000,2017-06-19,286209
1497916800000,2017-06-20,308488
1498003200000,2017-06-21,221289
1498089600000,2017-06-22,284225
1498176000000,2017-06-23,276012
1498262400000,2017-06-24,250570
1498348800000,2017-06-25,231135
1498435200000,2017-06-26,316788
1498521600000,2017-06-27,252995
1498608000000,2017-06-28,274241
1498694400000,2017-06-29,263791
1498780800000,2017-06-30,252652
1498867200000,2017-07-01,240465
1498953600000,2017-07-02,248617
1499040000000,2017-07-03,302032
1499126400000,2017-07-04,281465
1499212800000,2017-07-05,271606
1499299200000,2017-07-06,258791
1499385600000,2017-07-07,295389
1499472000000,2017-07-08,248142
1499558400000,2017-07-09,225189
1499644800000,2017-07-10,302633
1499731200000,2017-07-11,291677
1499817600000,2017-07-12,283828
1499904000000,2017-07-13,260745
1499990400000,2017-07-14,249381
1500076800000,2017-07-15,231961
1500163200000,2017-07-16,249138
1500249600000,2017-07-17,248473
1500336000000,2017-07-18,271055
1500422400000,2017-07-19,270122
1500508800000,2017-07-20,250065
1500595200000,2017-07-21,232560
1500681600000,2017-07-22,205574
1500768000000,2017-07-23,260490
1500854400000,2017-07-24,263095
1500940800000,2017-07-25,242956
1501027200000,2017-07-26,223010
1501113600000,2017-07-27,225435
1501200000000,2017-07-28,246494
1501286400000,2017-07-29,198773
1501372800000,2017-07-30,206624
1501459200000,2017-07-31,250090
1501545600000,2017-08-01,218582
1501632000000,2017-08-02,231068
1501718400000,2017-08-03,236335
1501804800000,2017-08-04,257160
1501891200000,2017-08-05,261400
1501977600000,2017-08-06,265127
1502064000000,2017-08-07,281172
1502150400000,2017-08-08,318866
1502236800000,2017-08-09,280308
1502323200000,2017-08-10,338241
1502409600000,2017-08-11,356682
1502496000000,2017-08-12,338654
1502582400000,2017-08-13,333011
1502668800000,2017-08-14,410061
1502755200000,2017-08-15,413246
1502841600000,2017-08-16,413624
1502928000000,2017-08-17,428007
1503014400000,2017-08-18,443356
1503100800000,2017-08-19,377418
1503187200000,2017-08-20,309926
1503273600000,2017-08-21,392880
1503360000000,2017-08-22,364727
1503446400000,2017-08-23,374711
1503532800000,2017-08-24,352465
1503619200000,2017-08-25,352621
1503705600000,2017-08-26,306268
1503792000000,2017-08-27,324173
1503878400000,2017-08-28,363799
1503964800000,2017-08-29,394649
1504051200000,2017-08-30,400220
1504137600000,2017-08-31,384421
1504224000000,2017-09-01,390997
1504310400000,2017-09-02,331797
1504396800000,2017-09-03,302525
1504483200000,2017-09-04,442592
1504569600000,2017-09-05,444572
1504656000000,2017-09-06,496376
1504742400000,2017-09-07,448347
1504828800000,2017-09-08,463670
1504915200000,2017-09-09,383654
1505001600000,2017-09-10,325128
1505088000000,2017-09-11,365384
1505174400000,2017-09-12,404898
1505260800000,2017-09-13,365679
1505347200000,2017-09-14,380251
1505433600000,2017-09-15,441767
1505520000000,2017-09-16,373764
1505606400000,2017-09-17,289517
1505692800000,2017-09-18,362764
1505779200000,2017-09-19,337752
1505865600000,2017-09-20,324984
1505952000000,2017-09-21,317074
1506038400000,2017-09-22,271470
1506124800000,2017-09-23,260107
1506211200000,2017-09-24,280929
1506297600000,2017-09-25,306614
1506384000000,2017-09-26,306075
1506470400000,2017-09-27,309047
1506556800000,2017-09-28,329208
1506643200000,2017-09-29,326502
1506729600000,2017-09-30,295798
1506816000000,2017-10-01,283871
1506902400000,2017-10-02,306095
1506988800000,2017-10-03,327906
1507075200000,2017-10-04,307399
1507161600000,2017-10-05,314808
1507248000000,2017-10-06,319882
1507334400000,2017-10-07,291091
1507420800000,2017-10-08,296829
1507507200000,2017-10-09,328172
1507593600000,2017-10-10,349605
1507680000000,2017-10-11,344305
1507766400000,2017-10-12,363411
1507852800000,2017-10-13,379136
1507939200000,2017-10-14,332169
1508025600000,2017-10-15,328921
1508112000000,2017-10-16,408297
1508198400000,2017-10-17,505611
1508284800000,2017-10-18,470449
1508371200000,2017-10-19,494184
1508457600000,2017-10-20,546837
1508544000000,2017-10-21,462902
1508630400000,2017-10-22,435493
1508716800000,2017-10-23,468168
1508803200000,2017-10-24,492288
1508889600000,2017-10-25,460419
1508976000000,2017-10-26,466406
1509062400000,2017-10-27,486147
1509148800000,2017-10-28,484554
1509235200000,2017-10-29,494176
1509321600000,2017-10-30,532626
1509408000000,2017-10-31,519906
1509494400000,2017-11-01,527783
1509580800000,2017-11-02,529277
1509667200000,2017-11-03,485790
1509753600000,2017-11-04,398758
1509840000000,2017-11-05,417102
1509926400000,2017-11-06,511663
1510012800000,2017-11-07,470418
1510099200000,2017-11-08,480413
1510185600000,2017-11-09,467172
1510272000000,2017-11-10,457427
1510358400000,2017-11-11,394378
1510444800000,2017-11-12,434380
1510531200000,2017-11-13,443176
1510617600000,2017-11-14,475984
1510704000000,2017-11-15,540593
1510790400000,2017-11-16,491482
1510876800000,2017-11-17,508590
1510963200000,2017-11-18,459679
1511049600000,2017-11-19,464563
1511136000000,2017-11-20,530141
1511222400000,2017-11-21,524044
1511308800000,2017-11-22,546489
1511395200000,2017-11-23,537068
1511481600000,2017-11-24,525529
1511568000000,2017-11-25,561166
1511654400000,2017-11-26,542484
1511740800000,2017-11-27,608695
1511827200000,2017-11-28,638989
1511913600000,2017-11-29,663579
1512000000000,2017-11-30,655457
1512086400000,2017-12-01,622720
1512172800000,2017-12-02,627785
1512259200000,2017-12-03,693808
1512345600000,2017-12-04,701834
1512432000000,2017-12-05,693090
1512518400000,2017-12-06,791746
1512604800000,2017-12-07,659068
1512691200000,2017-12-08,766411
1512777600000,2017-12-09,707223
1512864000000,2017-12-10,716575
1512950400000,2017-12-11,828899
1513036800000,2017-12-12,872340
1513123200000,2017-12-13,909631
1513209600000,2017-12-14,942559
1513296000000,2017-12-15,904346
1513382400000,2017-12-16,899857
1513468800000,2017-12-17,876574
1513555200000,2017-12-18,984021
1513641600000,2017-12-19,1092234
1513728000000,2017-12-20,986104
1513814400000,2017-12-21,1072665
1513900800000,2017-12-22,1103523
1513987200000,2017-12-23,918881
